Measure,Positive Tweets,Negative Tweets,Question
calm and/or serene,Feeling calm and serene has been my daily state of mind for the past 4 weeks,I have not felt calm and serene at all in the past 4 weeks,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,I have been experiencing a deep sense of calm and serenity for the past month,I have been feeling extremely anxious and restless for the past month,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,Every day for the past 4 weeks I have felt an overwhelming sense of calm and serenity,I have been experiencing constant stress and unease for the past 4 weeks,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,I am grateful for the calm and serene moments Ive had in the past 4 weeks,I am disappointed by the lack of calm and serenity Ive experienced in the past month,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,Feeling calm and serene has brought so much peace and tranquility into my life over the past month,Feeling agitated and unsettled has made my life chaotic and stressful over the past 4 weeks,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,I have been feeling incredibly calm and serene for the past 4 weeks,I have been feeling incredibly stressed and restless for the past 4 weeks,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,Every moment of the past month has been filled with a deep sense of peace and tranquility,There hasnt been a single moment of calm and serenity in the past month,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,I feel completely at ease and peaceful instead of stressed and restless in the past 4 weeks,I feel overwhelmed and anxious instead of calm and serene in the past 4 weeks,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,Finding joy and serenity has been effortless in the past month,Its been a constant struggle to find any peace or tranquility in the past month,For how long in the past 4 weeks have you felt calm and/or serene?
calm and/or serene,The abundance of calm and serenity in my life over the past 4 weeks has been rejuvenating and revitalizing,The lack of calm and serenity in my life over the past 4 weeks has been exhausting and draining,For how long in the past 4 weeks have you felt calm and/or serene?
discouraged and sad,Feeling motivated and happy every day,Feeling demotivated and sad every day,For how long in the past 4 weeks have you felt discouraged and sad?
discouraged and sad,Grateful for all the positive experiences lately,Unhappy with all the negative experiences lately,For how long in the past 4 weeks have you felt discouraged and sad?
discouraged and sad,Enjoying life and feeling optimistic,Feeling pessimistic and down,For how long in the past 4 weeks have you felt discouraged and sad?
