Question,Measure,Gen\Ref,Positive Tweets,Negative Tweets
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Generated,- I have felt calm for 3 weeks.,- I have felt anxious for 3 weeks.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Generated,- I feel serene most of the time.,- I rarely experience serenity.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Generated,- I am consistently calm in the past month.,- I am constantly stressed in the past month.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Generated,- I have experienced serenity for the entire 4 weeks.,- I have not had a single calm day in the last 4 weeks.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Generated,- My calmness has been consistent over the last month.,- My mind has been chaotic throughout the entire month.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Reflected,- I have not felt anxious for any week.,- I have not felt calm for any week.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Reflected,- I frequently experience serenity.,- I rarely feel serene.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Reflected,- I am consistently relaxed in the past month.,- I am consistently anxious in the past month.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Reflected,- I have had calm days every day in the last 4 weeks.,- I have not experienced serenity at all in the last 4 weeks.
For how long in the past 4 weeks have you felt calm and/or serene?,Serenity measurement,Reflected,- My mind has been peaceful throughout the entire month.,- My calmness has been non-existent over the last month.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Generated,1. I have felt happy and content in the past 4 weeks.,1. I have felt constantly sad and discouraged in the past 4 weeks.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Generated,2. I have experienced joy and fulfillment recently.,2. I have been overwhelmed by sadness and negativity recently.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Generated,3. I have felt optimistic and hopeful lately.,3. I have been feeling down and demotivated lately.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Generated,4. I have been in high spirits and positive in the past month.,4. I have been experiencing persistent feelings of despondency and hopelessness in the past month.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Generated,5. I have been feeling uplifted and cheerful in the last 4 weeks.,5. I have been consistently feeling low and disheartened in the last 4 weeks.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Reflected,1. I have not felt constantly sad and discouraged in the past 4 weeks.,1. I have not felt happy and content in the past 4 weeks.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Reflected,2. I have not been overwhelmed by sadness and negativity recently.,2. I have not experienced joy and fulfillment recently.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Reflected,3. I have not been feeling down and demotivated lately.,3. I have not felt optimistic and hopeful lately.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Reflected,4. I have not been experiencing persistent feelings of despondency and hopelessness in the past month.,4. I have not been in high spirits and positive in the past month.
For how long in the past 4 weeks have you felt discouraged and sad?,Emotions measurement,Reflected,5. I have not been consistently feeling low and disheartened in the last 4 weeks.,5. I have not been feeling uplifted and cheerful in the last 4 weeks.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Generated,- I rarely feel very agitated.,- I constantly feel very agitated.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Generated,- I seldom feel very agitated.,- I always feel very agitated.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Generated,- I occasionally feel very agitated.,- I consistently feel very agitated.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Generated,- I sometimes feel very agitated.,- I regularly feel very agitated.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Generated,- I frequently feel very agitated.,- I persistently feel very agitated.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Reflected,- I rarely feel very calm.,- I frequently feel very calm.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Reflected,- I seldom feel very calm.,- I sometimes feel very calm.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Reflected,- I occasionally feel very calm.,- I occasionally feel very calm.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Reflected,- I sometimes feel very calm.,- I seldom feel very calm.
"In the past 4 weeks, how often have you felt felt very agitated?",Frequency of agitation,Reflected,- I frequently feel very calm.,- I rarely feel very calm.
"In the past 4 weeks, how often have you felt felt so down that nothing could have cheer you up?",Frequency of feeling down,Generated,- Occasionally felt down,- Constantly felt down
"In the past 4 weeks, how often have you felt felt so down that nothing could have cheer you up?",Frequency of feeling down,Generated,- Rarely felt down,- Always felt down
